Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Blank 1,,,Qualifier 1 Results,Qualifier 2 Results,Blank 2,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Octadecanoic acid,38.652,31475,,16077,13224,38.702,277508,,159291,126649,38.705,97554,,45881,59673
Dipentyl phthalate (DPP),38.747,946721,,10297,4996,38.763,197,,308,1464,38.841,1577,,20,
Docosane (n-C22),39.089,65300,,110550,,39.091,89322,,189084,,39.091,89361,,202062,
Pyrene,39.326,406785,,37862,,39.342,2153,,392,,39.339,1348,,59,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.855,6812,,,55,39.552,119,,,,39.708,12637,,2255,915
"p,p'-DDE",39.879,256279,,125210,,40.183,3420,,8,,40.193,4354,,99,
d14-Terphenyl (IS),40.190,1151295,,80211,,40.190,3371577,,222212,,40.193,4648885,,307741,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,139241,,138863,72399,40.193,542,,3671,5,40.196,1060,,5429,50
Tricosane (n-C23),40.851,1367,,2465,4852,40.860,59780,,97357,176835,40.860,37095,,74560,112391
C3-Phenanthrenes,40.194,522,,,,40.701,732,,,,40.376,196,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,118133,,123068,,41.853,409,,531,,41.850,613,,391,
DDD,41.888,290986,,179430,,42.636,3243,,3229,,41.847,427,,488,
Dihexyl phthalate (DHP),42.115,1016705,,11540,,42.121,333,,,,41.840,556,,255,
Benzyl butyl phthalate (BBP),42.478,401705,,158581,17759,42.474,6565,,,251,42.477,8499,,,150
Tetracosane (n-C24),42.552,76865,,125727,,42.582,410425,,1100182,,42.579,611171,,954953,
Bis(2-ethylhexyl) adipate,42.746,1032,,608,,42.779,7627,,9613,,42.782,2734,,1500,
"p,p'-DDT",42.996,225730,,141875,,42.718,451,,,,42.636,2984,,2976,
Triphenyl phosphate,43.298,578,,246,,42.640,3067,,2115,,43.626,250,,1617,
Pentacosane (n-C25),44.162,8335,,13818,,44.185,152316,,281693,,44.182,152339,,294402,
bis(2-n-Butoxyethyl)phthalate,44.308,144101,,39292,,45.154,149734,,118,,45.154,284724,,33,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.020,176397,,67739,43928,44.924,10,,7,,45.049,9,,10,
