Compound Method,Farm-Soil,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Farm-Soil_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Docosane (n-C22),39.081,265,,119,,39.086,110483,,188296,,39.090,11669,,18936,
Pyrene,39.355,311,,23,,39.326,706623,,62245,,39.338,2966,,223,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.697,3588,,163,69,39.675,18867,,2206,1131,39.731,5742,,140,50
"p,p'-DDE",40.196,2,,3,,39.879,388359,,203050,,39.849,25,,8,
d14-Terphenyl (IS),40.236,54,,,,40.187,2151965,,141417,,40.185,305824,,22797,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.765,6,,4,,40.594,244466,,249720,128000,40.561,9,,,3
Tricosane (n-C23),41.378,493,,299,877,40.855,3014,,5518,8519,40.853,8198,,15865,26269
C3-Phenanthrenes,41.002,57,,,,40.177,800,,,,40.707,134,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.449,3,,5,,41.485,222384,,223650,,41.818,77,,73,
DDD,42.002,38,,5,,41.885,711260,,441422,,42.039,14,,26,
Dihexyl phthalate (DHP),42.154,98,,23,,42.112,1743901,,16601,,42.479,1443,,74,
Benzyl butyl phthalate (BBP),42.456,37,,,33,42.475,716632,,227957,29519,42.479,1384,,159170,409
Tetracosane (n-C24),42.636,81,,,,42.549,130517,,215038,,42.520,48907,,142976,
Bis(2-ethylhexyl) adipate,42.622,31,,86,,42.763,2539,,669,,42.750,428,,169,
"p,p'-DDT",43.032,24,,24,,42.996,130672,,78347,,43.089,41,,38,
Triphenyl phosphate,43.452,43,,57,,43.322,898,,314,,43.296,15,,,
Pentacosane (n-C25),43.876,1050,,167,,44.162,5318,,,,44.167,20284,,35168,
bis(2-n-Butoxyethyl)phthalate,44.174,488,,11,,44.308,249431,,56850,,45.143,11519,,39,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.025,15,,5,,45.020,278283,,109035,77423,44.780,3,,2,3
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.025,15,,5,,45.084,312636,,112128,66446,44.631,11,,,7
Dicyclohexyl phthalate,45.154,5185,,498,29,45.145,3413141,,280938,5210,45.143,11429,,1270,23
Bis(2-Ethylhexyl)phthalate (DEHP),45.154,5190,,495,58,45.145,3413141,,280903,13809,45.143,11426,,1265,85
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.201,40,,,,45.121,664942,,7417199,,45.062,37,,17,
Benz[a]anthracene,45.411,72,,26,,45.345,642400,,42239,,45.373,581,,90,
Chrysene,45.570,71,,12,,45.538,590481,,32692,,45.550,352,,,
Dronabinol,45.540,151,,85,,45.552,1396,,1127,,45.607,32,,,
Hexacosane (n-C26),45.899,97,,301,,45.870,12442,,44263,,45.750,25442,,35923,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.926,3,,,14,45.806,224897,,177527,112107,45.753,5,,,2
