Compound Method,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
bis(2-Ethoxyethyl)phthalate,38.151,128257,,,,38.236,21635,,,,38.215,17248,,,
Fluoranthene,38.280,309369,,21889,,38.287,46428,,19773,,38.286,19874,,9649,
"9,17-Octadecadienal, (Z)-",38.297,611944,,126897,,38.338,1944573,,301604,,38.361,2315593,,644245,
Octadecanoic acid,38.890,31151311,,19257597,17705003,38.924,33373689,,,,38.866,20344771,,12394434,11512192
Dipentyl phthalate (DPP),38.697,94599,,344,1141,38.870,90926,,7458,9333,38.839,38614,,1733,412
Docosane (n-C22),39.110,447977,,786558,,39.114,483059,,920163,,39.110,926036,,1589062,
Pyrene,39.330,314572,,26180,,39.337,45707,,,,39.340,23224,,3774,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.679,9794681,,1681380,547097,39.680,1675827,,280245,86562,39.730,658085,,110155,32245
"p,p'-DDE",39.883,1978,,928,,39.893,6302,,3430,,39.889,1669,,776,
d14-Terphenyl (IS),40.198,3857745,,246573,,40.202,2830427,,183032,,40.198,3687697,,230448,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.211,707,,3723,11,40.198,669,,3378,17,40.943,56,,,48
Tricosane (n-C23),40.869,565854,,951796,1636065,40.869,765793,,1403444,2341815,40.875,911714,,1217218,1672573
C3-Phenanthrenes,40.950,4460,,,,40.954,2756,,,,40.953,1361,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.858,1057,,2426,,41.486,347,,166,,41.492,93,,82,
DDD,41.886,6920,,4717,,41.896,83380,,53417,,41.906,2175,,1625,
Dihexyl phthalate (DHP),42.513,34396193,,7689,,42.137,325782,,6531,,42.133,260615,,2456,
Benzyl butyl phthalate (BBP),42.513,34414746,,11220646,1675895,42.499,3561332,,1475806,134761,42.492,757747,,306866,29356
Tetracosane (n-C24),42.584,566576,,1686314,,42.581,987294,,2054103,,42.587,974283,,2229563,
Bis(2-ethylhexyl) adipate,42.797,2154434,,2330332,,42.798,910099,,972564,,42.790,205160,,225499,
"p,p'-DDT",43.021,8838,,6208,,43.018,147757,,92187,,43.017,1218,,713,
Triphenyl phosphate,43.343,100411,,26123,,43.347,1482,,739,,43.522,103,,,
Pentacosane (n-C25),44.204,830557,,1736103,,44.197,820579,,1368409,,44.200,973286,,1619150,
bis(2-n-Butoxyethyl)phthalate,44.179,27654675,,44558,,45.187,36318912,,131859,,45.172,16446868,,4600,
