Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
C3-Phenanthrenes,40.194,522,,,,40.950,4460,,,,40.954,2756,,,,41.210,2408,,,,40.953,1361,,,,41.397,2981,,,,41.384,1166,,,,41.374,1011,,,,40.965,151,,,,41.379,361,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,118133,,123068,,41.858,1057,,2426,,41.486,347,,166,,41.491,126,,186,,41.492,93,,82,,41.404,31,,88,,41.516,6,,,,41.483,33,,6,,41.280,8,,9,,41.494,6,,,
DDD,41.888,290986,,179430,,41.886,6920,,4717,,41.896,83380,,53417,,41.901,102105,,66559,,41.906,2175,,1625,,41.892,1903,,1522,,41.882,1104,,546,,41.883,13290,,8522,,41.890,14522,,9659,,41.915,106,,23,
Dihexyl phthalate (DHP),42.115,1016705,,11540,,42.513,34396193,,7689,,42.137,325782,,6531,,42.138,336463,,4767,,42.133,260615,,2456,,42.129,261945,,2661,,42.475,2901834,,1450,,42.113,28589,,,,42.121,31058,,123,,42.108,25081,,110,
Benzyl butyl phthalate (BBP),42.478,401705,,158581,17759,42.513,34414746,,11220646,1675895,42.499,3561332,,1475806,134761,42.501,3731146,,1533587,139882,42.492,757747,,306866,29356,42.495,844979,,755022,29825,42.475,2901897,,1102807,111594,42.476,299924,,302163,12817,42.477,335096,,181203,14452,42.477,79559,,79328,3631
Tetracosane (n-C24),42.552,76865,,125727,,42.584,566576,,1686314,,42.581,987294,,2054103,,42.582,1060243,,2104821,,42.587,974283,,2229563,,42.584,950050,,2107982,,42.546,66117,,170612,,42.547,99322,,229545,,42.544,116306,,267653,,42.535,114317,,279441,
Bis(2-ethylhexyl) adipate,42.746,1032,,608,,42.797,2154434,,2330332,,42.798,910099,,972564,,42.803,945960,,1015737,,42.790,205160,,225499,,42.794,205878,,225394,,42.763,145951,,156475,,42.757,77682,,82191,,42.761,84751,,92042,,42.765,20899,,22816,
"p,p'-DDT",42.996,225730,,141875,,43.021,8838,,6208,,43.018,147757,,92187,,43.016,144223,,91411,,43.017,1218,,713,,43.017,1302,,743,,42.980,374,,192,,42.991,8409,,5263,,42.998,9281,,6368,,42.891,50,,,
Triphenyl phosphate,43.298,578,,246,,43.343,100411,,26123,,43.347,1482,,739,,43.348,1002,,2871,,43.522,103,,,,43.292,3455,,3534,,43.305,3292,,944,,43.564,71,,,,43.293,52,,117,,43.273,12,,,
Pentacosane (n-C25),44.162,8335,,13818,,44.204,830557,,1736103,,44.197,820579,,1368409,,44.195,818834,,1527442,,44.200,973286,,1619150,,44.197,730406,,1598207,,44.180,69658,,97238,,44.174,60921,,99309,,44.178,72557,,118106,,44.172,69619,,137578,
bis(2-n-Butoxyethyl)phthalate,44.308,144101,,39292,,44.179,27654675,,44558,,45.187,36318912,,131859,,45.188,37236988,,140790,,45.172,16446868,,4600,,45.173,16512493,,3817,,44.149,2326072,,1851,,45.153,3887346,,11046,,45.154,4225869,,13032,,45.148,1763122,,212,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.020,176397,,67739,43928,45.756,56305,,14038,14746,45.207,327,,315,276,45.182,310,,351,318,45.528,235,,178,128,45.817,2252,,1677,1014,45.579,2022,,953,955,45.017,15,,6,9,45.056,8,,8,,45.791,282,,49,89
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.077,178477,,68600,44169,45.756,56240,,14038,14746,45.207,325,,312,277,45.182,299,,341,320,45.528,230,,180,128,45.817,2251,,1729,577,45.579,2022,,951,951,45.017,14,,6,9,45.144,15,,,,45.791,285,,49,89
Dicyclohexyl phthalate,45.145,2028203,,192956,2934,45.230,156439102,,20863415,37849,45.187,36418133,,3925981,6279,45.188,37326851,,4000194,7725,45.172,16402234,,1520238,2856,45.173,16301768,,1497627,2681,45.163,14802427,,1457033,2103,45.153,3902902,,342611,811,45.154,4230612,,373169,790,45.148,1763777,,144113,220
Bis(2-Ethylhexyl)phthalate (DEHP),45.145,2028222,,192953,9216,45.230,156439102,,20892801,1731247,45.187,36418133,,3925873,333835,45.188,37332312,,4000194,342130,45.172,16402234,,1520082,120901,45.173,16301768,,1498840,121645,45.163,14802427,,1456987,121219,45.153,3902902,,342611,28672,45.154,4230612,,371858,31780,45.148,1763777,,144083,12411
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.121,401852,,4569653,,45.746,3677312,,3846595,,45.563,2132,,4878,,44.914,2417,,385,,44.491,6243,,2561,,45.569,21114,,23760,,45.579,286509,,318312,,44.973,219,,54,,45.239,198,,379,,45.551,2353,,3183,
Benz[a]anthracene,45.348,330887,,23885,,45.746,2659994,,484508,,45.268,7608,,10002,,45.256,6327,,9425,,45.264,7384,,10285,,45.257,7126,,11081,,45.573,198140,,41256,,45.461,386,,85,,45.459,473,,,,45.259,783,,832,
Chrysene,45.545,309431,,18940,,45.746,2659994,,484508,,45.563,31158,,2884,,45.558,29228,,,,45.572,18836,,3576,,45.569,19694,,3128,,45.573,198155,,40835,,45.536,2152,,734,,45.550,2455,,98,,45.554,2406,,205,
Dronabinol,45.623,102,,,,45.702,247072946,,226704547,,45.576,393712,,310192,,45.582,122728,,100450,,45.569,2486246,,1967441,,45.573,2461353,,1962576,,45.576,25929029,,21454958,,45.553,43342,,33444,,45.560,14641,,11296,,45.554,196798,,154658,
Hexacosane (n-C26),45.850,5707,,23596,,45.790,691141,,885367,,45.766,726056,,1218274,,45.768,904228,,1342442,,45.769,745941,,1541899,,45.766,1025377,,1530981,,45.749,59921,,79812,,45.749,59236,,95558,,45.747,70369,,106003,,45.751,82209,,126685,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.806,135628,,102921,67602,45.837,4115,,2214,1614,45.824,2370,,1542,1066,45.812,2147,,1611,1246,45.823,1705,,1985,1146,45.817,2248,,1729,1021,45.796,117,,214,74,45.831,29,,65,4,45.821,63,,9,24,45.791,283,,48,88
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.433,153192,,66062,42525,46.644,4010,,1872,1482,46.478,141,,87,,46.598,426,,194,185,46.081,91,,227,,45.817,2064,,1692,1005,46.576,150,,,79,46.471,11,,,4,46.445,21,,,5,45.791,279,,46,86
Cannabinol,46.568,2716,,429,,46.640,140331530,,22838174,,46.590,32388012,,4462220,,46.595,23930406,,3623649,,46.596,11365073,,1416037,,46.596,11410731,,1416299,,46.569,11029517,,1459955,,46.566,2659732,,318596,,46.567,2254646,,260711,,46.567,818434,,98153,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.460,131839,,25701,,47.233,136,,2410,,47.339,13,,,,47.537,17,,,,47.582,168,,37,,47.386,146,,329,,47.318,7,,17,,47.356,5,,4,,47.370,9,,9,,47.506,16,,,
Heptacosane (n-C27),47.253,8740,,8348,,47.298,1237650,,1993427,,47.281,842592,,1340480,,47.279,926237,,1525586,,47.284,1350192,,1583220,,47.284,1328054,,2220080,,47.260,86582,,138598,,47.264,68946,,114369,,47.262,80909,,131746,,47.381,58573,,178593,
Di-n-octyl phthalate,48.212,1100618,,12759,3185,48.287,90650019,,36603,612995,48.250,1773727,,8710,,48.245,1853706,,9968,,48.155,34658535,,,1942748,48.152,34553556,,,1722177,48.240,9387883,,3684,40580,48.227,141662,,903,,48.228,159320,,881,,48.231,800819,,,20475
Octacosane (n-C28),48.730,83200,,137780,,48.758,1399917,,2597580,,48.745,770591,,1196127,,48.747,1044203,,1608384,,48.863,1431834,,4295182,,48.860,2611745,,2295621,,48.721,78754,,123763,,48.725,67710,,113549,,48.726,82765,,120234,,48.801,313357,,209595,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.819,100002,,76324,81104,48.857,278,,258,218,48.813,59,,,35,48.811,105,,61,74,48.853,412,,88,677,48.711,69,,93,171,48.823,22,,14,19,48.982,14,,22,28,48.824,8,,13,,48.865,39,,23,7
Squalene,49.039,7940556,,1528841,4611316,49.013,529377,,196996,251180,49.009,551498,,158740,330383,49.004,481107,,135195,323181,49.032,5539780,,1614231,1733792,49.033,5412942,,1543619,1757241,48.972,156911,,32962,105229,48.979,167451,,39557,131332,48.973,190350,,41066,132172,48.984,609870,,181328,272609
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.151,132622,,48365,51952,48.857,259,,256,217,48.813,60,,,32,48.869,58,,32,53,48.978,520,,265,599,49.236,80,,162,,49.334,13,,10,,49.135,3,,,10,49.126,6,,,,49.390,18,,28,20
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.764,120173,,57329,59557,49.795,2213,,999,824,49.796,702,,184,425,49.791,671,,281,272,49.839,305,,224,671,49.826,1223,,281,491,49.799,4,,11,108,49.769,40,,29,28,49.756,17,,,22,49.787,36,,18,54
Nonacosane (n-C29),50.137,4222,,6639,,50.178,3498484,,5755252,,50.158,1863878,,2963640,,50.160,1972746,,3297708,,50.174,876792,,1548710,,50.171,629154,,1444599,,50.138,256212,,417270,,50.135,149574,,235042,,50.136,177567,,272116,,50.129,78320,,133109,
Benzo(b)fluoranthene,50.388,381050,,33155,,50.419,49279,,6126,,50.406,26256,,8173,,50.404,20879,,1816,,50.452,3305,,3313,,50.446,4284,,1501,,50.402,3886,,167,,50.463,203,,42,,50.454,402,,115,,50.397,151,,69,
Benzo(k)fluoranthenene,50.482,381861,,37869,,50.521,7158,,15660,,50.406,26286,,8065,,50.502,2165,,7758,,50.452,3507,,1647,,50.446,3773,,1551,,50.500,1185,,299,,50.396,1931,,42,,50.488,209,,54,,50.397,152,,68,
Dinonyl phthalate,50.994,1035020,,14078,,51.029,54448823,,866831,,51.019,2856263,,8999,,51.021,2873362,,6905,,51.029,4385159,,,,51.025,2598919,,26286,,50.998,4904854,,49767,,51.006,237066,,400,,51.003,251629,,677,,50.827,457877,,13349,
Benzo(e)pyrene,51.526,418640,,30874,,51.561,41678,,4183,,51.554,13271,,2273,,51.543,13722,,1620,,51.594,2070,,,,51.585,2262,,,,51.534,2642,,203,,51.528,985,,25,,51.545,970,,193,,51.556,68,,47,
Triacontane (n-C30),51.509,82228,,135444,,51.547,1316933,,1470858,,51.527,885783,,1278708,,51.532,939576,,1389464,,51.533,614885,,1098410,,51.530,579634,,1179319,,51.510,83961,,132742,,51.514,75553,,128588,,51.511,93144,,150559,,51.509,63154,,114369,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.408,98186,,77124,57404,51.032,457,,465,474,51.449,7,,12,,51.543,60,,29,78,51.415,118,,,11,51.073,11,,,9,51.456,7,,9,,51.338,2,,4,7,51.356,25,,,6,51.485,9,,11,9
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.567,113309,,51001,52579,51.575,56,,16,,51.561,17,,,14,51.529,7,,,277,51.151,351,,38,34,51.517,39,,46,11,51.618,6,,7,,51.626,15,,23,4,51.566,4,,,,51.515,8,,,
Piperine,52.001,1909,,18,,51.751,3237,,,,51.761,197104,,42418,,51.766,215190,,6252,,51.784,27962,,,,51.778,26625,,,,51.988,452,,81,,51.741,16560,,3982,,51.752,19540,,1818,,51.773,1882,,174,
Benzo[a]pyrene,51.780,329346,,32133,,51.815,14530,,1148,,52.012,3578,,6507,,52.024,4324,,7486,,51.594,2167,,,,51.818,1173,,,,51.785,1114,,190,,51.528,1017,,25,,51.867,115,,,,52.017,125,,216,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.950,124162,,56521,42141,51.978,110,,59,,51.951,4,,,27,52.122,21,,,44,51.981,24,,24,27,51.967,15,,9,,52.056,6,,7,5,51.934,14,,17,7,51.993,13,,16,26,51.875,5,,9,
Perylene,52.123,375413,,35935,,52.147,2878,,,,52.012,3671,,6604,,52.024,4575,,7645,,52.052,5126,,7358,,52.059,4557,,3612,,52.137,412,,463,,51.528,966,,92,,51.986,367,,181,,52.207,36,,32,
beta-Tocopherol,51.980,523,,6,,52.842,20362,,3712,,52.890,42065,,6313,,52.874,40905,,7350,,52.855,18900,,606,,52.862,8724,,3564,,52.913,462,,184,,52.900,590,,58,,52.874,843,,71,,52.817,605,,77,
Hentriacontane (n-C31),52.851,407,,2282,,52.872,2209550,,3205828,,52.852,1303631,,2154800,,52.861,1237831,,2000666,,52.859,875873,,1356782,,52.859,909276,,1441735,,52.838,159183,,244271,,52.832,113829,,180076,,52.836,118415,,187966,,52.837,84663,,150877,
Methyl Dipentadecyl amine (?),53.014,142,,23,,53.039,586422,,35660,,53.022,128259,,9377,,53.034,120897,,8242,,53.035,72924,,8908,,53.035,73967,,8714,,52.998,24463,,1934,,52.998,6172,,493,,53.009,5756,,376,,53.003,4690,,397,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.329,118280,,40188,29800,53.364,353,,213,204,53.340,66,,19,,53.349,87,,12,31,53.465,48,,,,53.354,72,,55,54,53.343,29,,9,14,53.347,11,,8,6,53.308,6,,10,12,53.427,12,,5,
Dotriacontane (n-C32),54.122,81432,,130941,,54.157,671180,,972071,,54.137,515811,,909440,,54.145,721296,,1020593,,54.143,628405,,948056,,54.143,553316,,991988,,54.123,48407,,82336,,54.113,52596,,64823,,54.117,46028,,74802,,54.115,44956,,85184,
Dihexdecyl amine (?),54.309,30,,15,,54.303,72983,,6537,,54.296,28211,,2989,,54.298,26188,,2664,,54.295,58627,,9339,,54.299,57445,,9751,,54.265,3648,,212,,54.293,1860,,83,,54.331,102,,20,,54.260,4893,,162,
Vitamin E (or tocopherol isomer),54.258,373,,36,,54.296,38866,,6808,,54.293,130846,,39297,,54.291,135921,,33904,,54.289,309883,,403779,,54.289,309341,,383683,,54.269,3174,,629,,54.273,12152,,2896,,54.280,12612,,3428,,54.277,27437,,33086,
Cholesterol,54.322,20,,,,54.360,185226,,330534,,54.323,448105,,693361,,54.315,467315,,723357,,54.326,5130433,,7691518,,54.326,5096980,,7697854,,54.411,7128,,43706,,54.398,50513,,117066,,54.402,58826,,110790,,54.393,203547,,537541,
Lathosterol,55.163,139,,,,55.255,9060,,11843,,55.201,25054,,,,55.203,47117,,,,55.180,380919,,282809,,55.187,380159,,282748,,54.404,34839,,26208,,55.615,4520,,,,55.114,4061,,3466,,55.321,25837,,,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.156,96139,,38450,29959,55.031,17,,32,28,55.160,19,,29,,55.237,17,,,7,54.333,1295,,1310,1280,54.330,1304,,1364,1244,55.140,42,,21,16,55.225,8,,,6,55.171,11,,,,54.867,24,,7,3
Tritriacontane (n-C33),55.898,580,,,,55.404,1133402,,1366268,,55.398,614261,,1106256,,55.396,664272,,1155115,,55.397,736120,,1135947,,55.404,602898,,1032790,,55.373,60386,,107081,,55.367,52950,,83948,,55.378,68960,,94766,,55.372,55214,,90782,
Methyl dihexdecyl amine (?),55.708,31,,3,,55.573,1382180,,267392,,55.564,316047,,71677,,55.562,301556,,68400,,55.566,84665,,19876,,55.563,79035,,18578,,55.529,58696,,12634,,55.537,16629,,4064,,55.544,17005,,4196,,55.535,6018,,1391,
"Cholesta-3,5-dien-7-one",55.712,22,,,,55.672,103697,,37307,,55.658,1276434,,480084,,55.664,1329176,,502519,,55.661,307785,,128299,,55.658,281083,,115914,,55.638,6952,,2269,,55.635,70756,,22708,,55.639,74743,,23224,,55.640,23504,,9098,
"Indeno(1,2,3-cd)pyrene",56.206,439634,,83528,,56.228,32686,,3547,,56.221,6595,,615,,56.226,6014,,276,,56.298,3208,,1693,,56.221,1327,,,,56.214,1953,,185,,56.221,63,,,,56.236,232,,,,56.300,58,,70,
Cholest-4-en-3-one,56.742,2630,,1144,,56.112,20865,,17348,,56.313,9050,,26425,,56.311,12437,,21783,,56.319,37129,,43342,,56.322,20145,,45347,,56.617,2200,,2770,,56.269,1486,,1844,,56.283,807,,2682,,56.260,532,,6314,
Tetratriacontane (n-C34),56.755,74751,,111241,,56.790,476391,,1006164,,56.773,418645,,657129,,56.789,496836,,742221,,56.790,636326,,972367,,56.790,611379,,972982,,56.763,32184,,42587,,56.760,25356,,43749,,56.757,30875,,53099,,56.751,57010,,87184,
beta-Sitosterol,56.952,31,,17,,57.037,88836,,100003,,56.980,73050,,98053,,56.965,75057,,95119,,56.962,154117,,182173,,56.973,149526,,200288,,56.912,173,,166,,57.075,2529,,6481,,57.086,3959,,429,,57.138,9213,,2214,
"2,2',3,4,4',5',6-Heptabromodiphenyl ether (BDE 183)",56.932,62228,,60090,28957,56.319,1022,,851,1084,56.960,66,,51,36,57.182,80,,99,,56.471,92,,54,,56.305,1187,,1031,988,56.902,12,,6,18,56.936,8,,26,,56.957,25,,6,,56.975,17,,,4
Diheptadecyl amine (?),56.949,709,,20,,56.970,275520,,30525,,56.953,85788,,9174,,56.958,81054,,8686,,56.952,13662,,3453,,56.946,12204,,3416,,56.919,13828,,1822,,56.926,5255,,269,,56.917,4602,,222,,56.931,935,,43,
"Benzo[g,h,i]perylene",57.294,384582,,57069,,57.315,63181,,10197,,57.285,1898,,1593,,57.311,6066,,298,,57.308,14514,,555,,57.319,12218,,1063,,57.308,3310,,390,,57.299,38,,213,,57.317,427,,80,,57.283,1251,,25,
Pentatriacontane (n-C35),58.223,488,,,,58.424,335027,,607880,,58.407,280164,,451193,,58.398,321385,,498402,,58.403,530848,,1451742,,58.406,623556,,1427465,,58.366,27702,,42998,,58.377,25329,,58733,,58.388,21236,,43395,,58.378,47628,,130246,
Methyl diheptadecyl amine (?),58.568,3117,,172,,58.613,13443673,,960975,,58.593,4236117,,279215,,58.598,3938194,,260486,,58.593,751416,,48393,,58.596,706474,,45714,,58.566,579558,,38673,,58.563,195099,,13740,,58.564,187695,,13356,,58.568,45056,,3736,
"2,2',3,4,4',5,6-Heptabromodiphenyl ether (BDE 181)",59.890,44133,,40056,17157,59.823,172,,,,60.301,225,,,190,59.923,113,,,,60.196,314,,,,60.209,180,,,,59.952,16,,8,,59.902,31,,6,5,59.838,19,,7,8,59.964,6,,,6
Hexatriacontane (n-C36),60.290,64522,,99686,,60.348,263224,,446513,,60.318,284178,,413125,,60.320,285582,,441248,,60.334,552879,,863769,,60.325,534052,,861879,,60.270,15404,,26104,,60.281,19983,,34491,,60.289,14162,,46294,,60.286,46611,,76468,
Dioctadecyl amine (?),60.598,25,,,,60.545,646236,,47993,,60.532,194229,,14652,,60.544,185951,,14732,,60.538,28403,,2738,,60.535,29152,,2205,,60.511,14362,,,,60.491,10991,,315,,60.516,10509,,903,,60.493,2135,,89,
Methyl dioctadecyl amine (?),62.822,2190,,87,,62.884,28643581,,981023,,62.853,11409749,,153629,,62.862,10814147,,342233,,62.852,3471909,,107184,,62.866,3297965,,99759,,62.822,1211330,,40984,,62.819,531509,,18892,,62.813,529966,,10265,,62.828,180412,,7343,
Acenaphthene-D10,24.869,336134,,435073,,24.877,1599929,,2107846,,24.880,1183833,,1541171,,24.879,1317327,,1725483,,24.880,1426051,,1856410,,24.880,1402915,,1845469,,24.880,99355,,129077,,24.877,93037,,122213,,24.878,106868,,142391,,24.878,116198,,153771,
Phenanthrene-D10,32.220,623281,,67539,,32.216,3777922,,397805,,32.214,2775713,,294898,,32.219,3010937,,321140,,32.217,3285041,,348959,,32.220,3286082,,346965,,32.217,235889,,27330,,32.217,217094,,25661,,32.218,241964,,28910,,32.222,273974,,32536,
Benz(a)anthracene-D12,45.233,691324,,166665,,45.251,4144277,,1010449,,45.254,3024235,,723742,,45.253,3265588,,781052,,45.250,3542092,,855456,,45.252,3554217,,858922,,45.237,239284,,59679,,45.238,223039,,55128,,45.235,250317,,61214,,45.239,285636,,68176,
Perylene-D12,52.007,386629,,91378,,52.035,1947273,,457411,,52.019,1442751,,331990,,52.020,1545406,,354740,,52.052,1694480,,392581,,52.056,1675972,,388244,,52.012,112692,,28121,,52.012,106548,,26635,,52.013,117832,,28397,,52.017,137549,,34072,
