Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom,,,Qualifier 1 Results,Qualifier 2 Results,LM-Shop_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Kitchen-Dup_10D,,,Qualifier 1 Results,Qualifier 2 Results,LM-Bedroom_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Acenaphthylene,24.137,523185,,27207,,24.155,4657,,,,24.016,1958,,,,24.160,1436,,5434,,24.154,552,,7844,,24.144,630,,7431,,24.189,78,,,,24.145,167,,,,24.159,160,,,,24.150,42,,,
Pentadecane (n-C15),24.235,1540,,3808,,24.287,44102,,,,24.294,39753,,45438,,24.286,47433,,109407,,24.293,49364,,119999,,24.294,67125,,116609,,24.287,3082,,4726,,24.084,5762,,10987,,24.292,2494,,8293,,24.275,5594,,10345,
Acenaphthene,25.032,399869,,54092,,25.039,7368,,102415,,25.036,3073,,54934,,25.041,4285,,72906,,25.042,5091,,11568,,25.049,4994,,11839,,25.049,802,,6560,,25.030,218,,4394,,25.034,195,,3313,,25.065,123,,2693,
"Benzoic acid, 4-ethoxy-, ethyl ester (?)",25.882,846,,10,246,26.009,57464,,130,,26.199,20772,,126,,26.204,17584,,32,,26.164,10912,,414,190,26.164,10513,,23,,25.812,1697,,11,275,25.833,106,,8,,26.088,1030,,6,,25.871,70,,15,
Dodecanoic acid,26.079,28884,,15057,7629,26.188,1697506,,1176373,627196,26.199,2131065,,1550344,729025,26.210,2190757,,1190533,795218,26.157,1129375,,798578,428035,26.161,1124571,,774569,411305,26.083,50914,,25125,16027,26.087,83295,,44161,29463,26.088,93190,,53780,35594,26.085,32239,,18992,14313
C3-Naphthalenes,27.048,134998,,163079,,26.337,14733,,16193,,26.341,3227,,4153,,26.343,5139,,5385,,26.347,6904,,6932,,26.344,6971,,8490,,26.337,1113,,1022,,26.344,540,,314,,26.339,450,,458,,26.353,664,,751,
Hexadecane (n-C16),26.723,40876,,74836,,26.734,1221856,,2331016,,26.731,970451,,1776688,,26.732,1121447,,2113578,,26.733,1239807,,2360853,,26.734,1253640,,2371024,,26.720,82685,,152493,,26.721,78832,,144943,,26.721,99383,,177793,,26.722,114199,,206410,
"2,3,5-Trimethylnaphthalene",27.048,136924,,160068,,27.056,7085,,8301,,27.042,1832,,2992,,27.044,2525,,2448,,27.055,3407,,2943,,27.045,3385,,3715,,27.049,556,,506,,27.039,117,,52,,27.071,57,,170,,27.054,376,,,
Diethyl Phthalate (DEP-D4),27.258,528940,,45724,,26.717,31169,,1682,,26.734,188384,,298,,26.746,201977,,385,,27.648,1020,,513,,26.673,18764,,165,,27.191,23,,25,,27.466,256,,53,,26.955,169,,15,,27.301,23,,21,
Diethyl phthalate (DEP),27.295,532601,,42163,,27.310,3006768,,262418,,27.307,195234,,18633,,27.305,211670,,20633,,27.303,163554,,15449,,27.310,163135,,15571,,27.306,193959,,18213,,27.300,19303,,1230,,27.304,22210,,2082,,27.301,17808,,1626,
