Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,NAT,,,Qualifier 1 Results,Qualifier 2 Results,NAT_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"9,17-Octadecadienal, (Z)-",38.649,5913,,95,,38.410,2030192,,1604489,,38.261,173847,,67317,
Octadecanoic acid,38.659,42778,,23602,20668,38.821,9774609,,6084863,5351256,38.671,412930,,182348,216994
Dipentyl phthalate (DPP),38.747,1017916,,11198,5357,38.844,11754,,1001,416,38.671,72,,18,44
Docosane (n-C22),39.093,69703,,121618,,39.105,797030,,1199157,,39.088,64927,,111794,
Pyrene,39.323,429343,,40242,,39.336,173284,,25328,,39.332,17742,,2535,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.808,15439,,1423,51,39.722,1844609,,305459,99013,39.695,117651,,20612,6320
"p,p'-DDE",39.879,271929,,131647,,39.881,356,,55,,40.200,310,,4,
d14-Terphenyl (IS),40.191,1259316,,83505,,40.196,4308483,,243250,,40.189,343247,,26412,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,150008,,150039,79432,40.196,802,,3736,12,40.396,5,,,13
Tricosane (n-C23),40.848,1171,,2794,4282,40.864,1369712,,2003139,3268689,40.935,11519,,,
C3-Phenanthrenes,41.834,136,,,,40.956,410,,,,40.959,37,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.479,131694,,129941,,41.867,525,,562,,41.254,8,,4,
DDD,41.885,315544,,196003,,41.860,927,,677,,41.881,42,,35,
Dihexyl phthalate (DHP),42.116,1091831,,7386,,42.125,66312,,893,,42.111,7264,,158,
Benzyl butyl phthalate (BBP),42.478,435329,,169273,18526,42.487,944562,,1007787,31431,42.470,95547,,87617,4107
Tetracosane (n-C24),42.553,82929,,136950,,42.586,2791415,,4264969,,42.545,254925,,504333,
Bis(2-ethylhexyl) adipate,41.824,3220,,935,,42.789,384325,,418560,,42.758,38198,,41659,
"p,p'-DDT",42.993,244684,,152439,,42.653,3664,,4722,,43.189,51,,24,
Triphenyl phosphate,43.312,672,,279,,43.331,947,,,,43.300,24,,,
Pentacosane (n-C25),44.179,6151,,16979,,44.195,3192755,,4233050,,44.175,250311,,422233,
bis(2-n-Butoxyethyl)phthalate,44.312,151345,,40235,,44.168,9734562,,1599,,44.148,1067837,,42,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.023,176939,,78944,45518,45.188,983,,685,712,45.795,747,,848,472
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.078,197354,,67674,49482,45.188,975,,685,711,45.795,748,,,189
Dicyclohexyl phthalate,45.145,2156406,,209627,3261,45.185,75442493,,10661482,14657,45.147,10674688,,1034307,1565
Bis(2-Ethylhexyl)phthalate (DEHP),45.145,2156406,,209635,9376,45.185,75442493,,10661482,843164,45.147,10674688,,1033963,86072
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.122,430673,,4376107,,45.185,5006,,21791,,45.147,861,,2226,
Benz[a]anthracene,45.345,351566,,25393,,45.368,47462,,4264,,45.361,3734,,84,
Chrysene,45.535,316795,,19467,,45.558,80146,,4935,,45.554,7368,,367,
Dronabinol,45.610,111,,,,45.578,10059,,7884,,45.554,1067,,1206,
Hexacosane (n-C26),45.840,7485,,23599,,45.771,3788119,,4973501,,45.740,301147,,518696,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.799,144487,,110261,72343,45.825,9685,,6514,4346,45.795,810,,,283
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.433,163176,,71111,46387,45.825,9665,,6475,4325,45.795,807,,,283
Cannabinol,46.565,2606,,351,,46.578,50347,,6998,,46.564,6201,,684,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.463,146666,,27092,,47.269,167,,27,,47.499,2,,5,
Heptacosane (n-C27),47.260,4268,,9518,,47.286,3973476,,5270540,,47.259,341104,,552242,
Di-n-octyl phthalate,48.216,1172022,,14264,3816,48.259,32606830,,,,48.237,4038075,,,
Octacosane (n-C28),48.731,92390,,145051,,48.753,4342998,,5712311,,48.726,360758,,612401,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.812,109115,,81666,84781,48.831,1328,,961,1369,48.824,139,,73,91
Squalene,49.046,6754502,,1672044,5097158,49.012,18130918,,6717033,6858838,48.977,2507802,,761695,878822
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.154,145098,,52065,54892,49.014,714,,755,702,48.824,92,,68,89
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.761,127956,,60603,62137,49.777,9082,,3944,4271,49.760,630,,374,443
Nonacosane (n-C29),50.147,4461,,7295,,50.170,5220195,,6806576,,50.139,430184,,764135,
Benzo(b)fluoranthene,50.385,404129,,35527,,50.397,242103,,25277,,50.397,22129,,2293,
Benzo(k)fluoranthenene,50.490,415645,,39172,,50.505,80323,,10467,,50.495,8864,,806,
Dinonyl phthalate,50.998,1114946,,15929,,51.014,15765030,,226413,,50.993,1791906,,20456,
Benzo(e)pyrene,51.530,447554,,30223,,51.543,128294,,12502,,51.532,12292,,1102,
Triacontane (n-C30),51.506,92137,,144246,,51.539,4034160,,5587687,,51.508,350190,,549875,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.405,104277,,83316,62304,51.553,277,,265,187,51.142,4,,6,11
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.564,120447,,54563,55741,51.559,503,,292,476,51.468,11,,15,7
Piperine,51.994,1748,,55,,51.763,388145,,,,51.749,47695,,,
Benzo[a]pyrene,51.781,368828,,33457,,51.793,94529,,13783,,51.793,9120,,1416,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.954,132083,,62989,47215,51.973,603,,324,292,51.973,32,,28,14
Perylene,52.123,413313,,38475,,52.146,26361,,2929,,52.132,2189,,268,
beta-Tocopherol,52.930,972,,11,,52.688,3987,,16099,,52.545,2944,,97,
Hentriacontane (n-C31),52.828,1208,,2017,,52.869,4056148,,5118031,,52.830,358746,,587357,
Methyl Dipentadecyl amine (?),52.994,191,,13,,53.040,102353,,10677,,52.993,6044,,471,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.333,126584,,44025,33364,53.366,786,,258,133,53.342,59,,,17
Dotriacontane (n-C32),54.126,38119,,,,54.152,2943068,,3795622,,54.111,263877,,404322,
Dihexdecyl amine (?),54.360,15,,11,,54.298,30769,,5863,,54.264,2043,,90,
Vitamin E (or tocopherol isomer),54.285,279,,19,,54.294,5037114,,752021,,54.267,480943,,6362,
Cholesterol,54.268,37,,,,54.335,7235609,,11006624,,54.369,555072,,869480,
Lathosterol,55.129,366,,,,55.179,775342,,584501,,55.382,36611,,34516,
"2,2',3,4,4',5-Hexabromodiphenyl ether (BDE 138)",55.153,105769,,42175,32222,54.342,2283,,2190,2143,55.362,7,,16,
Tritriacontane (n-C33),55.356,264,,167,,55.406,2522234,,3180507,,55.372,236291,,371456,
Methyl dihexdecyl amine (?),55.597,25,,,,55.565,357345,,64104,,55.531,21978,,4716,
