Compound Method,YF2,,,Qualifier 1 Results,Qualifier 2 Results,YF2,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,YF2_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"2,4-Dibromodiphenyl ether (BDE 7)",34.987,502,,540,,34.985,489,,525,,35.137,108226,,52595,,34.827,15,,14,
Dibutyl phthalate,35.143,2821377,,21850,,35.144,2841431,,21862,,35.130,1361100,,11080,,35.136,218620,,2047,
Eicosane (n-C20),35.343,366721,,676633,,35.348,373083,,675334,,35.330,80309,,143055,,35.332,28787,,50987,
1-Methylphenanthrene,35.448,8277,,1553,,35.341,18581,,3477,,35.435,374302,,50589,,35.461,479,,148,
Chlorpyrifos,35.868,31,,,,35.866,65,,43,,35.859,127026,,88827,,35.858,6,,28,
bis(2-Methoxyethyl)phthalate,35.946,52251,,,,35.937,53606,,,,36.093,110922,,71003,,35.925,5144,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.719,18,,26,,36.662,25,,64,,36.825,223178,,107374,,36.668,4,,9,
bis(4-Methyl-2-pentyl)phthalate,37.251,1686,,2849,,36.984,788,,2713,,37.062,326223,,37547,,37.125,47,,6,
Heneicosane,37.268,568609,,1575846,,37.269,725223,,1498685,,37.062,25007,,2433,,37.250,19934,,36609,
1-Hexadecanol,37.268,4323424,,6691902,,37.266,4300728,,6759421,,37.459,2148,,26644,,37.515,231791,,311342,
Didecyl amine (?),37.498,1934751,,42436,,37.499,1757583,,42233,,37.723,18871,,258,,37.576,284113,,4936,
C2-Phenanthrenes,37.600,21921,,13182,,37.598,12365,,12789,,38.499,4441,,,,37.579,1552,,940,
bis(2-Ethoxyethyl)phthalate,38.227,2125,,196387,,38.499,2929,,239478,,38.191,131597,,64747,,38.148,41,,,
Fluoranthene,38.281,56200,,10158,,38.282,57475,,11472,,38.272,577134,,42400,,38.284,3635,,200,
"9,17-Octadecadienal, (Z)-",38.356,5113428,,606871,,38.357,935559,,654910,,38.662,7705,,106,,38.240,81266,,12950,
Octadecanoic acid,38.769,4971850,,2937050,2652935,38.764,5098911,,3037207,2681338,38.655,30304,,16366,17439,38.657,104633,,52307,61277
Dipentyl phthalate (DPP),38.833,8988,,37,75,38.828,6272,,,137,38.750,1368278,,12935,6416,38.982,79,,23,23
Docosane (n-C22),39.101,469778,,802271,,39.102,337803,,818854,,39.085,93018,,158195,,39.179,26561,,9877,
Pyrene,39.335,59631,,6564,,39.333,64093,,6380,,39.326,594577,,53899,,39.341,5484,,121,
