Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,Lucia,,,Qualifier 1 Results,Qualifier 2 Results,Lucia_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
"9,17-Octadecadienal, (Z)-",38.649,4154,,93,,38.418,27366037,,,,38.287,1262476,,221965,
Octadecanoic acid,38.652,30821,,14949,13836,38.550,6789550,,2978880,910612,38.670,425763,,187491,225436
Dipentyl phthalate (DPP),38.747,858253,,9439,5043,38.855,10231,,3106,,38.728,175,,23,38
Docosane (n-C22),39.096,62109,,100679,,39.106,303219,,594525,,39.087,23095,,40745,
Pyrene,39.327,364413,,33689,,39.336,80516,,158473,,39.341,7616,,672,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.893,10768,,1081,344,39.736,658517,,117654,37563,39.704,35224,,6761,1810
"p,p'-DDE",39.879,227846,,111897,,39.899,440,,87,,39.867,21,,7,
d14-Terphenyl (IS),40.187,1046929,,71342,,40.203,4299412,,243044,,40.189,271824,,21838,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.594,124593,,126810,66446,40.810,41,,,22,40.704,13,,,2
Tricosane (n-C23),40.852,2186,,1922,4219,40.865,448181,,1271291,1521211,40.853,35287,,88584,101994
C3-Phenanthrenes,40.191,476,,,,40.949,473,,,,41.104,68,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.482,106250,,109729,,41.105,35,,28,,41.453,8,,3,
DDD,41.882,261993,,161637,,41.878,808,,780,,41.642,13,,13,
Dihexyl phthalate (DHP),42.116,913639,,10667,,42.495,1573848,,7528,,42.476,123935,,428,
Benzyl butyl phthalate (BBP),42.475,360832,,117583,16007,42.495,1573586,,1334492,58711,42.476,123345,,251009,5655
Tetracosane (n-C24),42.553,69230,,114743,,42.583,1015714,,1889789,,42.537,113154,,239916,
Bis(2-ethylhexyl) adipate,42.777,462,,504,,42.793,311735,,340792,,42.764,25460,,23111,
"p,p'-DDT",42.997,201555,,126410,,43.006,190,,,,43.015,35,,25,
Triphenyl phosphate,43.305,552,,185,,43.332,3179,,1124,,43.317,217,,,
Pentacosane (n-C25),44.183,6159,,,,44.193,1360077,,2820017,,44.177,107439,,207501,
bis(2-n-Butoxyethyl)phthalate,44.312,127623,,34639,,45.179,56442336,,2012,,45.150,5891629,,206,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.027,155465,,59300,38555,45.179,441,,394,395,45.136,25,,45,5
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.084,156678,,59986,39655,45.179,438,,393,393,45.136,26,,45,5
Dicyclohexyl phthalate,45.149,1814824,,173587,2537,45.179,56444580,,7372722,9608,45.150,5891026,,538470,959
Bis(2-Ethylhexyl)phthalate (DEHP),45.149,1814749,,173601,7977,45.179,56444580,,7372665,557452,45.150,5890980,,538473,45625
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.125,356740,,4118178,,45.172,3603,,8967,,45.153,308,,730,
Benz[a]anthracene,45.349,291505,,20343,,45.362,23368,,1590,,45.353,2204,,853,
Chrysene,45.539,277558,,15643,,45.562,23193,,1853,,45.543,2359,,,
Dronabinol,45.647,122,,,,45.572,2190,,1846,,45.543,822,,641,
Hexacosane (n-C26),45.850,4502,,18464,,45.762,1677079,,2761365,,45.746,137507,,199162,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.800,120471,,91599,58311,45.819,2923,,2382,1575,45.811,155,,189,51
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",46.430,135270,,57921,38889,45.819,3141,,2388,1544,45.811,155,,187,52
Cannabinol,46.576,2672,,350,,46.578,109983,,13522,,46.570,15355,,2346,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.463,119779,,22396,,47.568,22,,7,,47.475,4,,,
Heptacosane (n-C27),47.270,4582,,11319,,47.280,2351865,,3792157,,47.261,187960,,295284,
Di-n-octyl phthalate,48.216,978968,,11743,3125,48.239,995750,,,,48.234,59534,,,
Octacosane (n-C28),48.734,75452,,121402,,48.751,2180653,,3417032,,48.722,177752,,282423,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.816,90338,,67908,70993,48.842,499,,,347,48.827,49,,,21
Squalene,49.036,7303958,,1380060,4181140,49.008,18642068,,7206554,7300868,48.979,1940124,,617171,664085
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",49.155,120159,,43781,45536,49.012,713,,821,709,48.979,62,,38,
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.765,106197,,50706,52559,49.774,3914,,1813,1605,49.769,86,,,72
Nonacosane (n-C29),50.141,4586,,8226,,50.164,3525075,,5579440,,50.135,282291,,421099,
Benzo(b)fluoranthene,50.391,342356,,32393,,50.394,37872,,2936,,50.396,3319,,111,
Benzo(k)fluoranthenene,50.483,322576,,38068,,50.499,14291,,954,,50.508,944,,32,
Dinonyl phthalate,50.995,922256,,12901,,51.015,701455,,5523,,50.986,53410,,137,
Benzo(e)pyrene,51.523,368467,,30300,,51.543,21909,,1711,,51.538,1496,,16,
Triacontane (n-C30),51.503,76049,,119063,,51.530,2171178,,3460506,,51.504,155306,,258097,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.398,85520,,67896,52132,51.103,184,,141,153,51.528,7,,,8
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.561,100385,,43691,46164,51.570,42,,78,97,51.840,6,,13,6
Piperine,52.005,1199,,16,,51.760,130160,,8873,,51.755,13058,,,
Benzo[a]pyrene,51.784,293255,,31322,,51.797,19837,,2109,,51.789,1434,,62,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.954,110047,,50309,37815,51.987,129,,56,138,51.965,6,,3,38
Perylene,52.127,332416,,40106,,52.140,7261,,7555,,52.128,444,,112,
beta-Tocopherol,52.940,797,,10,,53.187,18425,,11159,,53.087,556,,74,
Hentriacontane (n-C31),52.818,2688,,3075,,52.865,2008613,,2921118,,52.829,158809,,236447,
