Compound Method,XL,,,Qualifier 1 Results,Qualifier 2 Results,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,XL_10D,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Fluoranthene,38.272,3246409,,215314,,38.272,674928,,49478,,38.272,245880,,25284,
"9,17-Octadecadienal, (Z)-",38.411,25428157,,,,38.154,59735,,952,,38.285,1219015,,207840,
Octadecanoic acid,38.529,5853794,,2540804,886792,38.669,35599,,19056,14108,38.668,308251,,137706,167267
Dipentyl phthalate (DPP),38.848,88566,,1121,,38.750,1588404,,15421,7744,38.983,6891,,19,
Docosane (n-C22),39.109,447365,,833061,,39.086,110483,,188296,,39.082,36776,,62267,
Pyrene,39.332,2471544,,209618,,39.326,706623,,62245,,39.322,189483,,20637,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.722,1063053,,167668,56571,39.675,18867,,2206,1131,39.705,53486,,10399,3704
"p,p'-DDE",39.892,1707,,777,,39.879,388359,,203050,,39.885,84,,,
d14-Terphenyl (IS),40.203,4031038,,261705,,40.187,2151965,,141417,,40.186,299374,,23250,
"2,2',4-Tribromodiphenyl ether (BDE 17)",40.197,707,,3776,9,40.594,244466,,249720,128000,40.722,14,,,4
Tricosane (n-C23),40.868,659395,,1047031,1913939,40.855,3014,,5518,8519,40.939,7415,,11176,25108
C3-Phenanthrenes,40.963,6853,,,,40.177,800,,,,40.939,547,,,
"2,4,4'-Tribromodiphenyl ether (BDE 28)",41.505,190,,251,,41.485,222384,,223650,,41.491,24,,14,
DDD,41.891,2366,,1435,,41.885,711260,,441422,,41.962,29,,20,
Dihexyl phthalate (DHP),42.494,3919735,,6299,,42.112,1743901,,16601,,42.474,325759,,47,
Benzyl butyl phthalate (BBP),42.494,3919735,,2317880,148335,42.475,716632,,227957,29519,42.474,326327,,261947,14552
Tetracosane (n-C24),42.579,1198854,,2251053,,42.549,130517,,215038,,42.545,106393,,225820,
Bis(2-ethylhexyl) adipate,42.789,227064,,237628,,42.763,2539,,669,,42.762,19011,,17927,
"p,p'-DDT",43.009,1289,,490,,42.996,130672,,78347,,42.948,50,,22,
Triphenyl phosphate,43.348,1495,,,,43.322,898,,314,,43.284,36,,,
Pentacosane (n-C25),44.199,1499709,,2437109,,44.162,5318,,,,44.168,112531,,198386,
bis(2-n-Butoxyethyl)phthalate,45.205,124571028,,6513,,44.308,249431,,56850,,45.151,19289036,,4364,
"2,3',4',6-Tetrabromodiphenyl ether (BDE 71)",45.192,1683,,1708,1520,45.020,278283,,109035,77423,45.815,3260,,2327,1461
"2,3',4,5-Tetrabromodiphenyl ether (BDE 49)",45.192,1680,,1691,1515,45.084,312636,,112128,66446,45.815,3261,,2327,1460
Dicyclohexyl phthalate,45.205,125393439,,22723142,33569,45.145,3413141,,280938,5210,45.151,19287499,,1946796,2971
Bis(2-Ethylhexyl)phthalate (DEHP),45.205,125393439,,22723142,1940759,45.145,3413141,,280903,13809,45.151,19287499,,1943620,162034
Bis(2-ethylhexyl)phthalate (DEHP-D4),45.205,13958,,53764,,45.121,664942,,7417199,,45.134,760,,2489,
Benz[a]anthracene,45.361,1904384,,107882,,45.345,642400,,42239,,45.348,135762,,11377,
Chrysene,45.558,1807144,,86435,,45.538,590481,,32692,,45.534,125263,,7863,
Dronabinol,45.582,2307,,2051,,45.552,1396,,1127,,45.568,217,,212,
Hexacosane (n-C26),45.765,1497911,,2563977,,45.870,12442,,44263,,45.748,130886,,215432,
"2,2',4,4'-Tetrabromodiphenyl ether (BDE 47)",45.826,31214,,23038,15778,45.806,224897,,177527,112107,45.815,3246,,2320,1450
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 66)",45.826,31192,,23274,15846,46.433,267391,,113653,74085,45.815,3241,,2317,1442
Cannabinol,46.585,29596,,4263,,46.565,2659,,331,,46.591,2826,,219,
"2,3',4,4'-Tetrabromodiphenyl ether (BDE 77)",47.527,7,,9,,47.463,242634,,42673,,47.727,3,,10,
Heptacosane (n-C27),47.283,2163610,,3286231,,47.256,4675,,7340,,47.262,169877,,269741,
Di-n-octyl phthalate,48.608,125997135,,32411450,78155673,48.215,1917010,,22436,5625,48.506,16466386,,3256201,9246117
Octacosane (n-C28),48.754,1696013,,2881512,,48.727,146889,,235774,,48.723,151286,,228287,
"2,2',4,4',6-Pentabromodiphenyl ether (BDE 100)",48.838,5890,,4261,4754,48.822,171655,,126798,124041,48.815,607,,370,400
Squalene,49.018,17103562,,5077528,5127086,49.069,12015623,,2919880,8542804,48.977,1432485,,451618,485588
"2,3',4,4',6-Pentabromodiphenyl ether (BDE 119)",48.838,5838,,4486,4735,49.154,229722,,80729,78494,48.815,605,,367,400
"2,2',4,4',5-Pentabromodiphenyl ether (BDE 99)",49.794,38507,,17961,18805,49.767,205307,,94117,91954,49.763,3225,,1609,1408
Nonacosane (n-C29),50.163,3042809,,4646946,,50.147,7541,,8236,,50.133,250833,,399554,
Benzo(b)fluoranthene,50.411,3891486,,251067,,50.391,708841,,64624,,50.384,262678,,26028,
Benzo(k)fluoranthenene,50.506,1331437,,115213,,50.486,740632,,73605,,50.482,96413,,11226,
Dinonyl phthalate,51.021,3614150,,23937,,50.998,1801768,,22071,,50.994,287248,,2138,
Benzo(e)pyrene,51.556,1856011,,113553,,51.530,756301,,56991,,51.522,122914,,11807,
Triacontane (n-C30),51.533,1431835,,2323566,,51.509,143233,,235465,,51.502,123281,,166079,
"2,2',4,4',6,6'-Hexabromodiphenyl ether (BDE 155)",51.980,2869,,1653,1074,51.408,159421,,135563,99871,51.932,198,,7,24
"2,2',3,4,4'-Pentabromodiphenyl ether (BDE 85)",51.587,1367,,721,443,51.570,198258,,85451,82810,51.566,105,,19,61
Piperine,51.766,41111,,9079,,52.001,4918,,66,,51.743,3653,,,
Benzo[a]pyrene,51.797,2124245,,163561,,51.780,646320,,62281,,51.776,137576,,15973,
"2,2',4,4',5,6'-Hexabromodiphenyl ether (BDE 154)",51.980,2867,,1666,1088,51.960,203208,,98967,71977,51.956,44,,,15
Perylene,52.146,511502,,41897,,52.126,696238,,72484,,52.122,35792,,4159,
beta-Tocopherol,52.668,2346,,16168,,52.916,3313,,65,,52.858,846,,121,
Hentriacontane (n-C31),52.864,1703287,,2808600,,52.838,4511,,9101,,52.834,151776,,222382,
Methyl Dipentadecyl amine (?),53.041,115542,,9744,,53.011,119,,54,,52.996,5607,,262,
"2,2',4,4',5,5'-Hexabromodiphenyl ether (BDE 153)",53.356,3717,,1620,1291,53.339,204305,,69848,53708,53.342,468,,75,87
Dotriacontane (n-C32),54.142,801215,,1294958,,54.119,143644,,220662,,54.118,62460,,97500,
Dihexdecyl amine (?),54.305,48411,,8180,,54.115,604,,19,,54.274,1397,,293,
