Compound Method,100 ppb PAH-Alk-pest-PBDE-Phthaltate-FA,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results,1ppm Biogenic Std,,,Qualifier 1 Results,Qualifier 2 Results
Name,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area,RT,Area,Mass Accuracy,Area,Area
Chlorpyrifos,35.863,89209,,68185,,35.938,11,,6,,36.464,2,,5,,35.691,15,,2,
bis(2-Methoxyethyl)phthalate,36.093,58503,,49472,,35.548,22,,,,36.217,118,,,,36.034,16,,,
"4,4'-Dibromodiphenyl ether (BDE 15)",36.825,142439,,37024,,36.545,6,,7,,36.786,6,,2,,36.657,1,,4,
bis(4-Methyl-2-pentyl)phthalate,37.069,224446,,27191,,37.321,32,,22,,37.027,71,,9,,37.128,47,,50,
Heneicosane,37.384,3032,,4289,,37.297,25959,,43338,,37.301,21489,,45280,,37.355,27595,,47380,
1-Hexadecanol,36.690,4761,,9740,,37.304,135542,,183166,,37.308,170490,,171948,,37.342,174464,,194240,
Didecyl amine (?),37.652,1354,,11,,37.355,633,,,,37.559,1494,,37,,37.555,1947,,25,
C2-Phenanthrenes,38.499,2853,,,,37.548,20,,,,37.593,13,,67,,37.627,29,,43,
bis(2-Ethoxyethyl)phthalate,38.187,85936,,41756,,38.304,61,,,,38.545,53,,1892,,38.182,19,,356,
Fluoranthene,38.272,390184,,28440,,38.307,32,,56,,38.216,24,,,,38.386,55,,55,
"9,17-Octadecadienal, (Z)-",38.140,37336,,846,,39.181,55270,,18,,39.226,66823,,11,,38.677,3152,,23,
Octadecanoic acid,38.652,31475,,16077,13224,38.659,18800,,12149,8963,38.660,17925,,13706,7731,38.657,21826,,11259,7674
Dipentyl phthalate (DPP),38.747,946721,,10297,4996,38.900,33,,6,,38.545,51,,10,,38.572,69,,6,32
Docosane (n-C22),39.089,65300,,110550,,39.171,20279,,44295,,39.229,24095,,40494,,39.107,1690,,1939,
Pyrene,39.326,406785,,37862,,39.347,332,,41,,39.348,177,,39,,39.348,370,,42,
"Phenol, 4,4'-(1-methylethylidene)bis-",39.855,6812,,,55,39.663,12797,,2752,933,39.660,8748,,366,447,39.673,11506,,286,24
"p,p'-DDE",39.879,256279,,125210,,39.981,2,,2,,40.087,3,,,,39.772,5,,7,
d14-Terphenyl (IS),40.190,1151295,,80211,,40.215,114,,,,40.219,19,,,,40.216,129,,24,
